@id,name,amenity,`addr:street`,addr:city,`@lat`,`@lon`
5527682122,Pharmacie Al Khattabi صيدلية الخطابي,pharmacy,Lot Adouha Zouagha Haute,Fès,34.0139363,-5.0434335
5528634825,Pharmacie des Roches صيدلية الصخور,pharmacy,,Fès,33.9948567,-5.0078415
5552817821,Pharmacie Sagha صيدلية الصاغة,pharmacy,,Fès,34.066239,-4.9748059
5558873045,Cabinet Cardiologue,clinic,,,34.0356801,-5.0007628
5558891231,Cabinet de Rheumatologie,hospital,,rue mohamed ZARKTOUNI FEZ,34.0369853,-5.0019344
5718733521,Pharmacie Chifae Arrahmane صيدلية شفاء الرحمان,pharmacy,,Fès,34.0516802,-5.0433317
5727962822,Pharmacie Jardin de Tghath صيدلية حديقة تغاث,pharmacy,Avenue Moussa Ben Noussair,Fès,34.0595306,-5.0238346
5735067971,Pharmacie Errachid صيدلية الرشيد,pharmacy,,Fès ⴼⴰⵙ فاس,34.0704938,-4.9996766
5735223007,Pharmacie Al Imam Mouslim صيدلية الإمام مسلم,pharmacy,,Fès ⴼⴰⵙ فاس,34.0670337,-5.0108801
5740981221,Pharmacie Dar Dmana صيدلية دار الضمانة,pharmacy,Bab Khoukha,Fès ⴼⴰⵙ فاس,34.0650353,-4.9574981
5744062346,Pharmacie Al Youmne صيدلية اليمن,pharmacy,,Fès,34.0092557,-5.0413397
5749776079,Pharmacie Volubilis صيدلية وليلي,pharmacy,Rue Abi Tayeb Al Motanabbi,Fès,34.0347847,-5.0003661
5763509517,clinique nour,clinic,,6 rue kasem amine,34.0306715,-5.0093894
5765530617,clinique haj abdehadi,clinic,,ain kadous fez,34.0617107,-5.0131736
7725405985,Pharmacie Riad Chafi صيدلية رياض الشافي,pharmacy,Avenue Naoual,Fès,34.0164626,-4.9599062
8972515927,Pharmacie Asmae صيدلية أسماء,pharmacy,Avenue Rachad,Fès,34.0136448,-4.9752165
8972595649,Pharmacie du Lido صيدلية الليدو,pharmacy,Route des Champs شارع الجولان,Fès,34.0331265,-4.9904057
8984249652,Pharmacie Saada صيدلية السعادة,pharmacy,HAY SAADA RTE AIN CHQEF,Fès,34.0256245,-5.0048828
8993802951,Pharmacie Gharnata صيدلية غرناطة,pharmacy,,Fès,34.0357569,-5.0287686
9010895004,Pharmacie Berrada صيدلية برادة,pharmacy,,Fès,34.0591521,-5.0138627
9010900716,Pharmacie Averroès صيدلية ابن رشد,pharmacy,Ibn Hajar,Fès,34.0433492,-5.0091946
9032660795,Pharmacie Attouraya صيدلية الثريا,pharmacy,,Fès ⴼⴰⵙ فاس,34.0695594,-4.9955712
9032668703,Pharmacie Hay Belkhayat صيدلية حي بلخياط,pharmacy,,Fès,34.0686025,-5.001806
9032672710,Pharmacie Al Mamalik صيدلية الممالك,pharmacy,,Fès,34.0658698,-4.9968004
9032747370,Pharmacie le Remède صيدلية الدواء,pharmacy,,Fès ⴼⴰⵙ فاس,34.0588845,-5.0111457
9032748170,Pharmacie Ain Kadouss صيدلية عين قادوس,pharmacy,,Fès,34.0598898,-5.008256
9032830871,Pharmacie Benkirane صيدلية بنكيران,pharmacy,,Fès,34.0596226,-5.0169477
9032834575,Pharmacie El Ghazi صيدلية الغازي,pharmacy,,Fès,34.0567516,-5.0152941
9035353158,Pharmacie Jbel Tghat صيدلية جبل ثغات,pharmacy,,Fès,34.0577633,-5.0212595
9035364493,Pharmacie Faiza صيدلية فايزة,pharmacy,,Fès فاس,34.0566911,-5.0303904
9035500323,Pharmacie Salah صيدلية صلاح,pharmacy,,Fès,34.0554449,-5.0256744
9035505122,Pharmacie Reda صيدلية رضا,pharmacy,,Fès,34.0571553,-5.0267418
9035534360,Pharmacie Al Imane صيدلية الإيمان,pharmacy,,Fès,34.0523514,-5.0344778
9035544128,Pharmacie Al Falah صيدلية الفلاح,pharmacy,,Fès فاس,34.0550044,-5.0287002
9035591817,Pharmacie Ain Haroun صيدلية عين هارون,pharmacy,,Fès,34.066531,-5.0073181
9035612159,Pharmacie Ibn Al Khatib صيدلية بن الخطيب,pharmacy,,Fès,34.0665259,-5.0035026
9035630210,Pharmacie Agadir صيدلية أكادير,pharmacy,,Fès,34.063744,-5.009789
9035717748,Pharmacie Saida صيدلية سعيدة,pharmacy,,Fès,34.0651564,-5.0162463
9035797630,Pharmacie Es-Salam صيدلية السلام,pharmacy,Avenue Oqba Ben Nafia,Fès,34.0610614,-5.0123122
9038248382,Pharmacie Ibn Sina صيدلية ابن سينا,pharmacy,,Fès,34.0634415,-5.0054342
9038251500,Pharmacie Dayaa صيدلية الضيعة,pharmacy,,Fès,34.0627967,-5.0181666
9038273758,Pharmacie Hay Laalou صيدلية حي لعلو,pharmacy,,Fès,34.0651138,-5.0121204
9038321797,Pharmacie Al Imam Malik صيدلية الإمام مالك,pharmacy,,Fès,34.0622255,-5.0215687
9038337026,Pharmacie Al Marwa صيدلية المروى,pharmacy,,Fès,34.0602017,-5.0285858
9040946630,Pharmacie Al Hilal صيدلية الهلال,pharmacy,,Fès ⴼⴰⵙ فاس,34.0611772,-5.0330511
9041087322,Pharmacie Soundous صيدلية السندس,pharmacy,,Fès,34.0593037,-5.0364883
9041103033,Pharmacie El Boukhari صيدلية البخاري,pharmacy,,Fès,34.0567425,-5.0352601
9041125608,Pharmacie Mounia صيدلية مونية,pharmacy,,Fès ⴼⴰⵙ فاس,34.058589,-5.0397344
9041137082,Pharmacie Youssef Ben Tachafine صيدلية يوسف تاشفين,pharmacy,,Fès,34.0549853,-5.0415456
9041162334,Pharmacie Lhoumadi صيدلية لحومادي,pharmacy,,Fès,34.0511596,-5.0393854
9041164672,Pharmacie Maalal صيدلية معلال,pharmacy,,Fès ⴼⴰⵙ فاس,34.0531852,-5.0380269
9041205020,Pharmacie Hasnaoui صيدلية الحسناوي,pharmacy,,Fès ⴼⴰⵙ فاس,34.0587131,-5.0454574
9041206899,Pharmacie Dr Obtel صيدلية د.أوبتيل,pharmacy,,Fès ⴼⴰⵙ فاس,34.05283,-5.048599
9041211850,Pharmacie El Mountazah صيدلية المنتزه,pharmacy,,Fès,34.0558711,-5.0446871
9041249677,Pharmacie Nasma صيدلية نسمة,pharmacy,,Fès ⴼⴰⵙ فاس,34.0453606,-4.9541227
9041266437,Pharmacie Al Hanae صيدلية الهناء,pharmacy,,Fès,34.0488103,-4.9606574
9041318009,Pharmacie Bled Tahiriyine صيدلية بلاد الطاهريين,pharmacy,,Fès,34.0474135,-4.9562404
9041369092,Pharmacie Al Makkiya صيدلية المكية,pharmacy,,Fès,34.0507379,-4.9572886
9043787624,Pharmacie Driss صيدلية إدريس,pharmacy,,Fès,34.0501087,-4.9644643
9043830738,Pharmacie Wisslane صيدلية ويسلان,pharmacy,,Fès,34.0581225,-4.9520117
9043830995,Pharmacie El Louizatt صيدلية اللويزات,pharmacy,,Fès,34.0593227,-4.9564327
9043883647,Pharmacie M'sella صيدلية المصلى,pharmacy,,Fès,34.0524925,-4.9608524
9043883650,Pharmacie la Ménara صيدلية المنارة,pharmacy,,Fès,34.0142987,-4.9681185
9043888667,Pharmacie Kamal صيدلية كمال,pharmacy,,Fès,34.0571051,-4.9544992
9043894386,Pharmacie Al Walidin صيدلية الوالدين,pharmacy,,Fès ⴼⴰⵙ فاس,34.0611174,-4.93784
9043936390,Pharmacie Saguia Lhamra صيدلية الساقية الحمراء,pharmacy,,Fès,34.0182531,-4.9723992
